lines_added,lines_deleted,net_churn,files_changed,commits_between,msg_total_length,has_perf_keyword,has_fix_keyword,has_test_keyword,has_refactor_keyword,has_dependency_keyword,project,language,prev_commit,commit,prev_energy_median,curr_energy_median,pct_change,p_value,cliffs_delta,is_regression_naive,is_regression
23,10,33,1,1,29,0,0,0,0,0,docx4j,java,53ecd933d797a11fa5dc751e22a815cb5497fc17,2bd0e9f4ba77ccc29b7fdd24cf533f897ed63cb9,267.58,267.52,-0.00022423200538157663,0.6783024655972324,0.09333333333333334,0,0
1,1,2,1,1,31,0,0,0,0,0,docx4j,java,2bd0e9f4ba77ccc29b7fdd24cf533f897ed63cb9,bc24ce340c9d978bdd2357036917970b1a1e5f5e,267.52,133.33,-0.5016073564593301,3.3918213908250945e-06,1.0,0,0
18,0,18,1,1,16,0,0,0,0,0,fastexcel,java,c0199fdd858cd3c9f3f06657e0666a29336c81d0,281df5a0594a3420e4ac50e58d1f76318337b0cc,456.0,456.74,0.0016228070175438795,0.8519177555606353,-0.044444444444444446,0,0
93,78,171,1,1,57,0,0,0,0,0,fastexcel,java,281df5a0594a3420e4ac50e58d1f76318337b0cc,e3e2abfbfc83c54aa756db1ebde3945542899482,456.74,457.02,0.0006130402417129498,0.7089232340537643,-0.08444444444444445,0,0
20,0,20,1,1,73,0,0,0,0,0,fastexcel,java,e3e2abfbfc83c54aa756db1ebde3945542899482,9162b922e57aaf9a1667f2cdf0be0553ccecdac8,457.02,456.7,-0.0007001881755721701,0.5338294217441396,-0.13777777777777778,0,0
2,2,4,1,1,44,0,0,0,0,0,fastexcel,java,9162b922e57aaf9a1667f2cdf0be0553ccecdac8,85c120ea90e0c1e0db3e1c9d540a0796961850f0,456.7,457.99,0.0028246113422378378,0.8682259903524354,-0.04,0,0
2,2,4,1,1,62,0,0,0,0,0,fastexcel,java,85c120ea90e0c1e0db3e1c9d540a0796961850f0,a847e1bb8b753eba183fef87aedc977f7e2e8eb8,457.99,456.87,-0.002445468241664675,0.4553018964198552,0.16444444444444445,0,0
2,2,4,1,1,44,0,0,0,0,0,fastexcel,java,a847e1bb8b753eba183fef87aedc977f7e2e8eb8,63f8ebe6c1798f0c4179752f963222440371421b,456.87,456.08,-0.0017291570906385195,0.6631500726976157,-0.09777777777777778,0,0
2,2,4,1,1,62,0,0,0,0,0,fastexcel,java,63f8ebe6c1798f0c4179752f963222440371421b,44d1c1864536bd7c8ccb5569374cf3612d7489ae,456.08,456.41,0.0007235572706543609,0.6481674291919923,-0.10222222222222223,0,0
2,22,24,1,1,56,0,0,0,0,1,fastexcel,java,44d1c1864536bd7c8ccb5569374cf3612d7489ae,1de50c29baf48a2dd20fb9decbc93db58142a9d2,456.41,456.65,0.0005258429920465201,0.8356870092411566,0.04888888888888889,0,0
1,1,2,1,5,273,0,0,0,0,0,fastexcel,java,1de50c29baf48a2dd20fb9decbc93db58142a9d2,11f27daeec3986888efa1a0a56a9fbb9f18e3716,456.65,457.98,0.0029125150552940784,0.3614429517167129,-0.2,0,0
2,2,4,1,1,53,0,0,0,0,0,fastexcel,java,11f27daeec3986888efa1a0a56a9fbb9f18e3716,6643eb38a770a4fd525f6052123c93afcbe41a47,457.98,456.61,-0.002991397004236003,0.023740102783700683,0.4888888888888889,0,0
2,2,4,1,1,62,0,0,0,0,0,fastexcel,java,6643eb38a770a4fd525f6052123c93afcbe41a47,9985b36ced515ceb44057a24fdee248306313539,456.61,456.98,0.0008103195287006516,0.2132718497654562,-0.27111111111111114,0,0
58,2,60,1,1,25,0,0,0,0,0,fastexcel,java,9985b36ced515ceb44057a24fdee248306313539,a73b5b3d40b004660f91ff4153eebe9f5c5a7b3d,456.98,461.1,0.009015711847345627,3.349997534124989e-05,-0.8933333333333333,0,0
1,1,2,1,3,176,0,0,0,0,0,fastexcel,java,a73b5b3d40b004660f91ff4153eebe9f5c5a7b3d,bcf8378a6c7da6beb7e5900029fe94849b0f9782,461.1,460.15,-0.0020602906094123736,0.48073111045562256,0.15555555555555556,0,0
2,2,4,1,1,53,0,0,0,0,0,fastexcel,java,bcf8378a6c7da6beb7e5900029fe94849b0f9782,c9ca52a0bcca6be6fe88cf319ed55fb0f926c9e6,460.15,460.08,-0.00015212430729108592,0.9009714934164412,0.03111111111111111,0,0
2,2,4,1,1,62,0,0,0,0,0,fastexcel,java,c9ca52a0bcca6be6fe88cf319ed55fb0f926c9e6,deaf4e17b02b8fd18d839a72ab9e494f5c494725,460.08,461.13,0.0022822117892540676,0.15846460599820356,-0.30666666666666664,0,0
2,2,4,1,1,53,0,0,0,0,0,fastexcel,java,deaf4e17b02b8fd18d839a72ab9e494f5c494725,f550ba1725664d24423cba6717a2ac3bd08d34fe,461.13,460.68,-0.0009758636393207743,0.26275304114766074,0.24444444444444444,0,0
2,2,4,1,1,62,0,0,0,0,0,fastexcel,java,f550ba1725664d24423cba6717a2ac3bd08d34fe,06c94b1c2e151c79c9e82b9c2905634618e871e7,460.68,460.78,0.0002170704176434095,0.4806822967560067,0.15555555555555556,0,0
